File No,Applicant Name,Location/ Controlled Area,Purpose,Activity,Granted Area,District,CLU Permission on,CLU Corrigendum on,clu_year,Sl. No.,Location on Map
CLU/KL-811,"Tia Construction Company Pvt. Ltd. C/o Tannu Agro complex Pvt. Ltd. Araina Pura road, Gharaunda, Karnal",Gharaunda,Warehouse,Warehouse,72382.4sqm.,Karnal,04/08/2012,--,2012,230,Map View
CLU/KL-812,Best Food International Pvt. Ltd.,Indri,Warehouse,Godown,38965.2sqm.,Karnal,06/04/2012,--,2012,97,Map View
CLU/KL-815,"Smt. Parmeshwari Devi, Mohan Gas Service",Karnal,Warehouse,Godown,4401sqm.,Karnal,10/07/2012,--,2012,222,Map View
CLU/KL-818,Sh. Subash Chand Gupta through Sh. Rajiv Gupta,Nilokheri-Taraori,Commercial,Restaurant,2513.19sqm.,Karnal,27/11/2012,--,2012,343,Map View
CLU/KL-822,Smt. Sundri Devi Suman Chaudhary W/o Sh. Om Parkash Chaudhary,Karnal,Warehouse,Warehouse,21852.8sqm.,Karnal,17/12/2012,--,2012,363,Map View
CLU/KL-833,"Sh. Virender Singh, Harinder singh S/o Nakul Singh",Karnal-III,Warehouse,Godown,35156.8sqm.,Karnal,11/12/2012,--,2012,356,Map View
CLU/AA-602,Sidak Automobile Pvt. Ltd.,Karnal,Industrial,Service Garage,708.19sqm.,Karnal,28/01/2013,--,2013,30,Map View
CLU/KL-801,"M/s Ashoka Panjabi Dhaba, Ashok Kumar, Krishan Lal & others",Karnal Part-V,Commercial,Dhaba,2685sqm.,Karnal,14/11/2013,--,2013,239,Map View
CLU/KL-812,M/s Best Food Ltd.,Indri,Warehouse,Paddy/Rice Godown,24837.3sqm.,Karnal,20/12/2013,--,2013,268,Map View
CLU/KL-816,"Sh. Mehar Chand Bhatia,",Karnal,Commercial,Restaurant,4502.09sqm.,Karnal,26/06/2013,--,2013,136,Map View
CLU/KL-819,Sh. Karan Kumar S/o Sh. Raj Kumar,Karnal,Residential,Farmhouse,12241.6sqm.,Karnal,27/06/2013,--,2013,138,Map View
CLU/KL-820,Sh. Karan Kumar S/o Sh. Raj Kumar,Karnal,Residential,Farmhouse,16229.2sqm.,Karnal,01/07/2013,--,2013,140,Map View
CLU/KL-823,Sh. Satish Kumar S/o Sh. Kashmiri Lal,Vill. Nilokheri-Taraori,Commercial,Retail oulet,1019sqm.,Karnal,09/01/2013,--,2013,8,Map View
CLU/KL-825,Sh. Rupinder Pal Singh S/o Sh. Mohinder Singh,Nilokheri-Taraori,Commercial,Petrol Pump,1475.45sqm.,Karnal,23/08/2013,--,2013,179,Map View
CLU/KL-827,Kanish Motors Pvt. Ltd.,Karnal,Industrial,Service Garage,4232.5sqm.,Karnal,11/02/2013,--,2013,47,Map View
CLU/KL-829,Sh. Bhushan Rana Sh. Roshan Lal Rana,Nilokheri-Taraori,Commercial,Petrol Pump,1011.7sqm.,Karnal,08/10/2013,--,2013,204,Map View
CLU/KL-830,Country Auto Cast Pvt. Ltd.,Vill Kutail Distt-Karnal,Commercial,Comm. Vehical Motor Garag,8340.86sqm.,Karnal,16/01/2013,--,2013,17,Map View
CLU/KL-831,Berkeley Motors Ltd.,"Kutail, Dist-Karnal",Commercial,Motor Car Garage,4584sqm.,Karnal,16/01/2013,--,2013,15,Map View
CLU/KL-832,Ramesh Kumar S/o Sh. Om Parkash,Gharaunda,Warehouse,Rice Mill,4046.85sqm.,Karnal,08/04/2013,--,2013,79,Map View
CLU/KL-834,"Sh. Himet Singh, W-143, G.K.-I, New Delhi-110048",Karnal,Warehouse,Warehouse godown,9408.86sqm.,Karnal,08/02/2013,--,2013,45,Map View
